contractSymbol, currentPrice,recordTime
AAPL,154.73,2022-03-12 04:13:06.538449
MSFT,280.07,2022-03-12 04:13:13.167993
AMZN,2910.49,2022-03-12 04:13:25.204514
GOOGL,2597.41,2022-03-12 04:13:37.307025
GOOG,2609.51,2022-03-12 04:13:49.702504
TSLA,795.35,2022-03-12 04:14:02.536628
NVDA,221,2022-03-12 04:14:23.802160
UNH,482.87,2022-03-12 04:14:36.637082
JNJ,169.35,2022-03-12 04:14:48.958508
FB,187.61,2022-03-12 04:15:00.754392
JPM,128.89,2022-03-12 04:15:13.874696
PG,143.22,2022-03-12 04:15:25.566403
XOM,84.92,2022-03-12 04:15:37.371751
HD,316.79,2022-03-12 04:15:49.958585
V,196.71,2022-03-12 04:16:02.269951
CVX,170.9,2022-03-12 04:16:14.327475
BAC,40.33,2022-03-12 04:16:26.541999
MA,324.79,2022-03-12 04:16:39.434740
PFE,50.27,2022-03-12 04:16:51.563719
ABBV,149.06,2022-03-12 04:17:04.040370
DIS,131.75,2022-03-12 04:17:16.317011
KO,57.92,2022-03-12 04:17:28.894922
AVGO,577.85,2022-03-12 04:17:40.757827
CSCO,54.69,2022-03-12 04:17:53.116455
COST,527.42,2022-03-12 04:18:05.684889
VZ,53.04,2022-03-12 04:18:17.749917
PEP,153.73,2022-03-12 04:18:31.498661
CMCSA,45.02,2022-03-12 04:18:43.341499
TMO,529.81,2022-03-12 04:18:55.764016
ABT,114.02,2022-03-12 04:19:07.925746
ADBE,416.38,2022-03-12 04:19:19.726250
LLY,266.3,2022-03-12 04:19:31.487185
WMT,142.07,2022-03-12 04:19:43.829304
MRK,78.26,2022-03-12 04:19:55.979473
INTC,45.83,2022-03-12 04:20:09.186872
ACN,311.58,2022-03-12 04:20:21.580901
CRM,197.9,2022-03-12 04:20:33.538940
WFC,48.47,2022-03-12 04:20:45.996210
AMD,104.29,2022-03-12 04:20:58.324970
QCOM,152.34,2022-03-12 04:21:10.126718
UNP,261.52,2022-03-12 04:21:22.187663
T,23.19,2022-03-12 04:21:34.397444
MCD,226.87,2022-03-12 04:21:46.367499
DHR,262.52,2022-03-12 04:21:59.450418
NEE,79.3,2022-03-12 04:22:11.352800
NKE,122.63,2022-03-12 04:22:24.255073
NFLX,340.32,2022-03-12 04:22:36.615551
LOW,222.21,2022-03-12 04:22:48.033988
BMY,68.87,2022-03-12 04:23:00.044734
TXN,170.36,2022-03-12 04:23:12.563306
RTX,96.92,2022-03-12 04:23:24.838221
UPS,203.9,2022-03-12 04:23:37.764261
PM,88.87,2022-03-12 04:23:49.910986
MDT,103.82,2022-03-12 04:24:01.675374
LIN,280.76,2022-03-12 04:24:13.222605
CVS,103.47,2022-03-12 04:24:25.616654
SPGI,379.68,2022-03-12 04:24:37.412340
COP,98.41,2022-03-12 04:24:49.764279
AMGN,228.85,2022-03-12 04:25:02.447495
HON,182.24,2022-03-12 04:25:15.562927
INTU,439.32,2022-03-12 04:25:27.415247
ORCL,77.82,2022-03-12 04:25:40.314388
MS,85.18,2022-03-12 04:25:52.099735
SCHW,80.24,2022-03-12 04:26:04.449226
LMT,439.04,2022-03-12 04:26:17.220151
IBM,123.96,2022-03-12 04:26:29.108224
ANTM,465.26,2022-03-12 04:26:41.349820
C,54.16,2022-03-12 04:26:53.124648
PYPL,96.57,2022-03-12 04:27:05.970911
PLD,147.83,2022-03-12 04:27:18.465101
GS,327,2022-03-12 04:27:29.913916
AMAT,123.64,2022-03-12 04:27:42.222898
CAT,214.83,2022-03-12 04:27:54.584425
AMT,234.84,2022-03-12 04:28:07.587593
DE,389.48,2022-03-12 04:28:19.998774
ISRG,273.69,2022-03-12 04:28:31.406611
NOW,512.15,2022-03-12 04:28:44.360375
TGT,206.97,2022-03-12 04:28:56.720079
AXP,167.9,2022-03-12 04:29:09.412153
SBUX,82.73,2022-03-12 04:29:21.642498
MO,50.48,2022-03-12 04:29:33.766886
BLK,687.04,2022-03-12 04:29:46.313767
GE,92.28,2022-03-12 04:29:58.742633
BA,176.23,2022-03-12 04:30:11.055314
ZTS,185.29,2022-03-12 04:30:20.999163
ADP,207.27,2022-03-12 04:30:33.851214
MDLZ,59.12,2022-03-12 04:30:45.491954
CB,201.91,2022-03-12 04:30:57.492065
SYK,247.77,2022-03-12 04:31:10.112800
MU,72.82,2022-03-12 04:31:22.217512
CME,225.96,2022-03-12 04:31:34.821082
MMM,140.96,2022-03-12 04:31:46.544112
CSX,34.69,2022-03-12 04:31:58.424041
DUK,106.14,2022-03-12 04:32:12.047921
BDX,254.51,2022-03-12 04:32:24.148565
CI,226.86,2022-03-12 04:32:36.143230
ADI,147.6,2022-03-12 04:32:48.722703
MMC,149.59,2022-03-12 04:33:01.068551
CCI,173.63,2022-03-12 04:33:13.240614
PNC,182.15,2022-03-12 04:33:25.995503
GILD,58,2022-03-12 04:33:39.241150
TFC,57.14,2022-03-12 04:33:51.437456
BKNG,2017.4,2022-03-12 04:34:03.706668
ICE,126.36,2022-03-12 04:34:16.228113
SO,68.69,2022-03-12 04:34:28.384848
TMUS,124.57,2022-03-12 04:34:41.588218
USB,52.65,2022-03-12 04:34:53.457453
NOC,436.3,2022-03-12 04:35:05.540154
TJX,61.43,2022-03-12 04:35:17.906228
EOG,116.68,2022-03-12 04:35:30.035079
FCX,46.93,2022-03-12 04:35:42.618753
LRCX,483.39,2022-03-12 04:35:53.960571
CHTR,559.29,2022-03-12 04:36:06.145350
NSC,267.34,2022-03-12 04:36:18.625845
EW,103.45,2022-03-12 04:36:31.124495
D,82.26,2022-03-12 04:36:43.246656
REGN,642.58,2022-03-12 04:36:55.364607
CL,73.77,2022-03-12 04:37:08.348395
AON,295.33,2022-03-12 04:37:26.657738
EQIX,693.55,2022-03-12 04:37:39.085425
F,16.04,2022-03-12 04:37:50.768262
ATVI,80.31,2022-03-12 04:38:03.419038
PGR,105.54,2022-03-12 04:38:16.710351
HCA,267,2022-03-12 04:38:29.533889
NEM,76.89,2022-03-12 04:38:41.434290
EL,264.23,2022-03-12 04:38:53.353961
BSX,41.7,2022-03-12 04:39:05.118283
WM,151.47,2022-03-12 04:39:16.736809
VRTX,236.48,2022-03-12 04:39:28.326152
ITW,203.86,2022-03-12 04:39:40.527876
SLB,42.9,2022-03-12 04:39:53.080937
SHW,233.59,2022-03-12 04:40:05.331159
ETN,146.92,2022-03-12 04:40:18.230011
GM,41.51,2022-03-12 04:40:29.756944
PSA,365.99,2022-03-12 04:40:41.515611
GD,232.48,2022-03-12 04:40:53.518938
FISV,94.15,2022-03-12 04:41:05.700781
HUM,426.12,2022-03-12 04:41:17.454392
EMR,93,2022-03-12 04:41:28.672041
PXD,232.49,2022-03-12 04:41:41.107251
LHX,250,2022-03-12 04:41:54.015119
COF,130.09,2022-03-12 04:42:06.815709
FIS,89.34,2022-03-12 04:42:19.685125
MCO,304.47,2022-03-12 04:42:33.096650
ILMN,303.87,2022-03-12 04:42:44.875952
FDX,213.18,2022-03-12 04:42:58.121555
OXY,57.95,2022-03-12 04:43:10.964572
APD,219.38,2022-03-12 04:43:23.653844
CNC,83.41,2022-03-12 04:43:36.118532
