REGN,733.02,2022-04-17 16:43:26.849277
CL,80.94,2022-04-17 16:43:27.195964
AON,328.26,2022-04-17 16:43:27.469073
EQIX,735.24,2022-04-17 16:43:27.731222
F,15.48,2022-04-17 16:43:28.042507
ATVI,78.93,2022-04-17 16:43:28.282601
PGR,112.11,2022-04-17 16:43:28.498132
HCA,260.94,2022-04-17 16:43:28.747335
NEM,84.77,2022-04-17 16:43:28.974846
EL,263.87,2022-04-17 16:43:29.254237
BSX,44.25,2022-04-17 16:43:29.454506
WM,159.16,2022-04-17 16:43:29.629568
VRTX,287.97,2022-04-17 16:43:29.889503
ITW,196.27,2022-04-17 16:43:30.156215
SLB,43.25,2022-04-17 16:43:30.393860
SHW,252.9,2022-04-17 16:43:30.626143
ETN,139.91,2022-04-17 16:43:30.908669
GM,40.13,2022-04-17 16:43:31.091782
PSA,408.5,2022-04-17 16:43:31.290421
GD,243.74,2022-04-17 16:43:31.607375
FISV,99.67,2022-04-17 16:43:31.789619
HUM,460.56,2022-04-17 16:43:32.041474
EMR,92.86,2022-04-17 16:43:32.506252
PXD,254.75,2022-04-17 16:43:32.838978
LHX,257.41,2022-04-17 16:43:33.182235
COF,132.59,2022-04-17 16:43:33.402835
FIS,102.45,2022-04-17 16:43:33.649478
MCO,328.4,2022-04-17 16:43:33.841862
ILMN,336.49,2022-04-17 16:43:33.990494
FDX,205.74,2022-04-17 16:43:34.251052
OXY,59.34,2022-04-17 16:43:34.443864
APD,246.84,2022-04-17 16:43:34.650898
CNC,86.54,2022-04-17 16:43:34.871342
